Gaming,Last,Overall,Attendance,Preparation
0-1 Hour,3.92,3.54,80%-100%,0-1 Hour
More than 3 Hours,3.42,3.55,80%-100%,More than 3 Hours
More than 3 Hours,3.57,3.56,60%-79%,2-3 Hours
More than 3 Hours,3.56,3.56,60%-79%,2-3 Hours
More than 3 Hours,3.56,3.56,60%-79%,2-3 Hours
More than 3 Hours,3.56,3.56,60%-79%,2-3 Hours
More than 3 Hours,3.56,3.56,60%-79%,2-3 Hours
More than 3 Hours,3.64,3.6,80%-100%,0-1 Hour
More than 3 Hours,3.62,3.6,60%-79%,2-3 Hours
More than 3 Hours,3.64,3.6,60%-79%,2-3 Hours
More than 3 Hours,3.63,3.6,60%-79%,2-3 Hours
2-3 Hours,3.66,3.61,80%-100%,More than 3 Hours
More than 3 Hours,3.63,3.63,60%-79%,2-3 Hours
2-3 Hours,3.88,3.64,80%-100%,0-1 Hour
More than 3 Hours,3.64,3.64,60%-79%,2-3 Hours
More than 3 Hours,3.53,3.67,80%-100%,2-3 Hours
2-3 Hours,3.5,3.67,60%-79%,2-3 Hours
More than 3 Hours,3.55,3.67,60%-79%,2-3 Hours
2-3 Hours,3.5,3.67,60%-79%,2-3 Hours
2-3 Hours,3.51,3.67,60%-79%,2-3 Hours
More than 3 Hours,3.52,3.67,80%-100%,2-3 Hours
2-3 Hours,3.5,3.67,60%-79%,2-3 Hours
2-3 Hours,3.5,3.67,60%-79%,2-3 Hours
2-3 Hours,3.5,3.67,60%-79%,2-3 Hours
2-3 Hours,3.69,3.69,80%-100%,More than 3 Hours
2-3 Hours,3.69,3.69,80%-100%,More than 3 Hours
2-3 Hours,4.0,3.7,80%-100%,More than 3 Hours
2-3 Hours,1.82,3.7,80%-100%,2-3 Hours
More than 3 Hours,3.2,3.7,60%-79%,2-3 Hours
More than 3 Hours,3.17,3.7,60%-79%,2-3 Hours
More than 3 Hours,3.17,3.7,60%-79%,2-3 Hours
More than 3 Hours,4.0,3.7,80%-100%,0-1 Hour
2-3 Hours,3.7,3.7,80%-100%,0-1 Hour
2-3 Hours,3.7,3.7,80%-100%,0-1 Hour
More than 3 Hours,3.71,3.71,80%-100%,2-3 Hours
More than 3 Hours,3.73,3.71,80%-100%,2-3 Hours
More than 3 Hours,3.73,3.71,80%-100%,2-3 Hours
More than 3 Hours,3.74,3.71,80%-100%,2-3 Hours
More than 3 Hours,3.68,3.74,80%-100%,2-3 Hours
2-3 Hours,3.85,3.74,80%-100%,2-3 Hours
2-3 Hours,3.7,3.74,80%-100%,More than 3 Hours
More than 3 Hours,3.67,3.74,80%-100%,2-3 Hours
More than 3 Hours,3.66,3.74,80%-100%,2-3 Hours
More than 3 Hours,3.67,3.74,80%-100%,2-3 Hours
More than 3 Hours,4.0,3.75,60%-79%,0-1 Hour
More than 3 Hours,4.0,3.75,80%-100%,0-1 Hour
More than 3 Hours,4.0,3.75,80%-100%,0-1 Hour
More than 3 Hours,4.0,3.75,80%-100%,0-1 Hour
More than 3 Hours,4.0,3.75,80%-100%,0-1 Hour
2-3 Hours,3.75,3.75,80%-100%,0-1 Hour
2-3 Hours,3.75,3.75,80%-100%,0-1 Hour
2-3 Hours,3.75,3.75,80%-100%,0-1 Hour
2-3 Hours,3.89,3.78,80%-100%,2-3 Hours
0-1 Hour,3.88,3.78,80%-100%,2-3 Hours
More than 3 Hours,3.75,3.8,80%-100%,0-1 Hour
More than 3 Hours,3.9,3.8,80%-100%,0-1 Hour
2-3 Hours,3.9,3.8,80%-100%,0-1 Hour
0-1 Hour,3.93,3.8,80%-100%,0-1 Hour
